date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:16:45	5310/5310	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225952c2dc-247c%22	https://bachittarjeet.github.io/robots.txt		(from )
22:16:45	46938/46938	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20Jan%202018%2010:03:35%20GMT	https://bachittarjeet.github.io/	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/index.html	(from )
22:16:46	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Jan%202018%2016:46:45%20GMT	https://bachittarjeet.github.io/css	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/css	(from https://bachittarjeet.github.io/)
22:16:46	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Jan%202018%2016:46:46%20GMT	http://bachittarjeet.github.io/css/	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/css/index.html	(from https://bachittarjeet.github.io/)
22:16:46	19888/19888	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20Jan%202018%2010:03:35%20GMT	https://bachittarjeet.github.io/css/prettyPhoto.css	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/css/prettyPhoto.css	(from https://bachittarjeet.github.io/)
22:16:46	72922/72922	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20Jan%202018%2010:03:35%20GMT	https://bachittarjeet.github.io/css/animate.css	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/css/animate.css	(from https://bachittarjeet.github.io/)
22:16:47	1150/1150	---M-Z	200	added ('OK')	image/x-icon	date:Wed,%2003%20Jan%202018%2010:03:35%20GMT	https://bachittarjeet.github.io/icon.ico	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/icon.ico	(from https://bachittarjeet.github.io/)
22:16:49	9538/9538	---MCZ	200	added ('OK')	text/javascript	etag:W/%22e212f84a6b464fe88166a7355edadb9c%22	https://use.fontawesome.com/46d67f5c5d.js	C:/My%20Web%20Sites/LP/use.fontawesome.com/46d67f5c5d.js	(from https://bachittarjeet.github.io/)
22:16:51	183323/183323	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20Jan%202018%2010:03:35%20GMT	https://bachittarjeet.github.io/css/stylesheet.css	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/css/stylesheet.css	(from https://bachittarjeet.github.io/)
22:16:52	11740/11740	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Jan%202018%2010:03:35%20GMT	https://bachittarjeet.github.io/images/avatar.jpg	C:/My%20Web%20Sites/LP/bachittarjeet.github.io/images/avatar.jpg	(from https://bachittarjeet.github.io/)
